city;city_name;Country;latitude;longitude;coastal;total_population;population_density_km2;land_area_km2;elevation_meters;ave_june_temp_celsius;koppen_climate;continent
AUK;auckland;New Zealand;-36.86667;174.76667;yes;1628900;1500;1102;196;10.6;marine_west_coast_climate;oceania
BAL;baltimore;United States of America;39.29038;-76.61219;yes;620961;2919;210;150;25.8;humid_subtropical_climate;north_america
BER;berlin;Germany;52.52437;13.41053;no;3711930;4200;891;34;19.4;warm_humid_continental_climate;europe
BOG;bogota;Colombia;4.60971;-74.08175;no;8080734;4310;1587;2640;16.1;marine_west_coast_climate;south_america
DEN;denver;United States of America;39.73915;-104.9847;no;600158;1745;401;1600;20.3;tropical_and_subtropical_steppe_climate;north_america
DOH;doha;Qatar;25.27932;51.52245;yes;1351000;10000;132;10;37.5;hot_desert_climate;middle_east
ILR;ilorin;United States of America;8.49664;4.54214;no;777667;1188;765;310;25.6;tropical_savanna_climate;sub_saharan_africa
LIS;lisbon;Portugal;38.75382;-9.23083;yes;505526;6458;100;2;23.9;hot-summer_mediterranean_climate;europe
MIN;minneapolis;United States of America;44.97997;-93.26384;no;382578;2959;151;253;22.2;cold_semi_arid_climates;north_america
NYC;new_york_city;United States of America;40.71427;-74.00597;yes;8622698;11000;783.84;10;23.3;humid_subtropical_climate;north_america
SAC;sacramento;United States of America;38.58157;-121.4944;no;466488;1952;259;9.1;23.6;hot-summer_mediterranean_climate;north_america
SAN;santiago;Chile;-33.45694;-70.64827;no;6310000;9821;641;570;8.3;warm-summer_mediterranean_climate;south_america
SAO;sao_paulo;Brazil;-23.5475;-46.63611;no;12106920;8959;1520;760;18.6;humid_subtropical_climate;south_america
TOK;tokyo;Japan;35.6895;139.69171;yes;13839910;2662;2188;40;21.7;humid_subtropical_climate;east_asia
VIE;vienna;Austria;48.20849;16.37208;no;1899055;4326;395;151;25;warm_humid_continental_climate;europe
ZRH;zurich;Switzerland;47;8;no;409241;4700;88;408;16;marine_west_coast_climate;europe