sample	reads	bases
gCSD17_BAL_14	2026805	306047555
gCSD17_BAL_1	3576245	540012995
gCSD17_BAL_1	3576245	540012995
gCSD17_BAL_2	4073212	615055012
gCSD17_BAL_2	4073212	615055012
gCSD17_BAL_3	4134563	624319013
gCSD17_BAL_3	4134563	624319013
gCSD17_BAL_4	1044422	157707722
gCSD17_BAL_4	1044422	157707722
gCSD17_BAL_5	1880744	283992344
gCSD17_BAL_5	1880744	283992344
gCSD17_BAL_6	2170348	327722548
gCSD17_BAL_6	2170348	327722548
gCSD17_BAL_7	3274498	494449198
gCSD17_BAL_7	3274498	494449198
gCSD17_BAL_8	3760813	567882763
gCSD17_BAL_8	3760813	567882763
gCSD17_BAL_9	3204227	483838277
gCSD17_BAL_9	3204227	483838277
gCSD17_DEN_10	4471391	675180041
gCSD17_DEN_10	4471391	675180041
gCSD17_DEN_11	2744945	414486695
gCSD17_DEN_11	2744945	414486695
gCSD17_DEN_12	2931145	442602895
gCSD17_DEN_12	2931145	442602895
gCSD17_DEN_13	2177571	328813221
gCSD17_DEN_13	2177571	328813221
gCSD17_DEN_14	4813109	726779459
gCSD17_DEN_15	5076776	766593176
gCSD17_DEN_15	5076776	766593176
gCSD17_DEN_16	3533456	533551856
gCSD17_DEN_16	3533456	533551856
gCSD17_DEN_17	1950855	294579105
gCSD17_DEN_17	1950855	294579105
gCSD17_DEN_18	2627676	396779076
gCSD17_DEN_18	2627676	396779076
gCSD17_DEN_19	2026907	306062957
gCSD17_DEN_19	2026907	306062957
gCSD17_DEN_1	2059168	310934368
gCSD17_DEN_1	2059168	310934368
gCSD17_DEN_20	1340194	202369294
gCSD17_DEN_20	1340194	202369294
gCSD17_DEN_21	2162747	326574797
gCSD17_DEN_21	2162747	326574797
gCSD17_DEN_22	1277917	192965467
gCSD17_DEN_22	1277917	192965467
gCSD17_DEN_23	2198938	332039638
gCSD17_DEN_23	2198938	332039638
gCSD17_DEN_2	2417893	365101843
gCSD17_DEN_2	2417893	365101843
gCSD17_DEN_3	1806755	272820005
gCSD17_DEN_3	1806755	272820005
gCSD17_DEN_4	851822	128625122
gCSD17_DEN_4	851822	128625122
gCSD17_DEN_5	1975413	298287363
gCSD17_DEN_5	1975413	298287363
gCSD17_DEN_6	1051658	158800358
gCSD17_DEN_6	1051658	158800358
gCSD17_DEN_7	2024195	305653445
gCSD17_DEN_7	2024195	305653445
gCSD17_DEN_8	3265833	493140783
gCSD17_DEN_8	3265833	493140783
gCSD17_DEN_9	2934836	443160236
gCSD17_DEN_9	2934836	443160236
gCSD17_DOH_10	3270609	493861959
gCSD17_DOH_10	3270609	493861959
gCSD17_DOH_11	3894930	588134430
gCSD17_DOH_11	3894930	588134430
gCSD17_DOH_12	4500746	679612646
gCSD17_DOH_12	4500746	679612646
gCSD17_DOH_13	4138119	624855969
gCSD17_DOH_13	4138119	624855969
gCSD17_DOH_14	2721589	410959939
gCSD17_DOH_14	2721589	410959939
gCSD17_DOH_1	3312285	500155035
gCSD17_DOH_1	3312285	500155035
gCSD17_DOH_2	3996096	603410496
gCSD17_DOH_2	3996096	603410496
gCSD17_DOH_3	3155935	476546185
gCSD17_DOH_3	3155935	476546185
gCSD17_DOH_4	3364027	507968077
gCSD17_DOH_4	3364027	507968077
gCSD17_DOH_5	3475345	524777095
gCSD17_DOH_5	3475345	524777095
gCSD17_DOH_6	2773972	418869772
gCSD17_DOH_6	2773972	418869772
gCSD17_DOH_7	5208824	786532424
gCSD17_DOH_7	5208824	786532424
gCSD17_DOH_8	3317475	500938725
gCSD17_DOH_8	3317475	500938725
gCSD17_DOH_9	4209956	635703356
gCSD17_DOH_9	4209956	635703356
gCSD17_ILR_10	2910641	439506791
gCSD17_ILR_10	2910641	439506791
gCSD17_ILR_11	3766130	568685630
gCSD17_ILR_11	3766130	568685630
gCSD17_ILR_12	8662385	1308020135
gCSD17_ILR_12	8662385	1308020135
gCSD17_ILR_13	4348990	656697490
gCSD17_ILR_13	4348990	656697490
gCSD17_ILR_14	5671352	856374152
gCSD17_ILR_14	5671352	856374152
gCSD17_ILR_15	6872612	1037764412
gCSD17_ILR_15	6872612	1037764412
gCSD17_ILR_16	7259259	1096148109
gCSD17_ILR_16	7259259	1096148109
gCSD17_ILR_17	4178869	631009219
gCSD17_ILR_17	4178869	631009219
gCSD17_ILR_18	3084715	465791965
gCSD17_ILR_18	3084715	465791965
gCSD17_ILR_1	5471622	826214922
gCSD17_ILR_1	5471622	826214922
gCSD17_ILR_2	7118025	1074821775
gCSD17_ILR_2	7118025	1074821775
gCSD17_ILR_3	4567903	689753353
gCSD17_ILR_3	4567903	689753353
gCSD17_ILR_4	5377255	811965505
gCSD17_ILR_4	5377255	811965505
gCSD17_ILR_5	4262404	643623004
gCSD17_ILR_5	4262404	643623004
gCSD17_ILR_6	9952907	1502888957
gCSD17_ILR_6	9952907	1502888957
gCSD17_ILR_7	4590902	693226202
gCSD17_ILR_7	4590902	693226202
gCSD17_ILR_8	4923531	743453181
gCSD17_ILR_8	4923531	743453181
gCSD17_ILR_9	5364703	810070153
gCSD17_ILR_9	5364703	810070153
gCSD17_MIN_1	4396619	663889469
gCSD17_MIN_1	4396619	663889469
gCSD17_MIN_2	4780996	721930396
gCSD17_MIN_2	4780996	721930396
gCSD17_MIN_3	5293958	799387658
gCSD17_MIN_3	5293958	799387658
gCSD17_MIN_4	5848878	883180578
gCSD17_MIN_4	5848878	883180578
gCSD17_MIN_5	4489159	677863009
gCSD17_MIN_5	4489159	677863009
gCSD17_MIN_6	4761693	719015643
gCSD17_MIN_6	4761693	719015643
gCSD17_NYC_10	4224013	637825963
gCSD17_NYC_10	4224013	637825963
gCSD17_NYC_11	5607321	846705471
gCSD17_NYC_11	5607321	846705471
gCSD17_NYC_12	3876811	585398461
gCSD17_NYC_12	3876811	585398461
gCSD17_NYC_13	4945394	746754494
gCSD17_NYC_13	4945394	746754494
gCSD17_NYC_14	4016236	606451636
gCSD17_NYC_14	4016236	606451636
gCSD17_NYC_15	2924086	441536986
gCSD17_NYC_15	2924086	441536986
gCSD17_NYC_16	4530603	684121053
gCSD17_NYC_16	4530603	684121053
gCSD17_NYC_17	8285289	1251078639
gCSD17_NYC_17	8285289	1251078639
gCSD17_NYC_18	7433445	1122450195
gCSD17_NYC_18	7433445	1122450195
gCSD17_NYC_19	5954171	899079821
gCSD17_NYC_19	5954171	899079821
gCSD17_NYC_1	3330162	502854462
gCSD17_NYC_1	3330162	502854462
gCSD17_NYC_20	5104760	770818760
gCSD17_NYC_20	5104760	770818760
gCSD17_NYC_2	4545158	686318858
gCSD17_NYC_2	4545158	686318858
gCSD17_NYC_3	5526295	834470545
gCSD17_NYC_3	5526295	834470545
gCSD17_NYC_4	4519565	682454315
gCSD17_NYC_4	4519565	682454315
gCSD17_NYC_5	5934058	896042758
gCSD17_NYC_5	5934058	896042758
gCSD17_NYC_6	5809957	877303507
gCSD17_NYC_6	5809957	877303507
gCSD17_NYC_7	5444837	822170387
gCSD17_NYC_7	5444837	822170387
gCSD17_NYC_8	4684726	707393626
gCSD17_NYC_8	4684726	707393626
gCSD17_NYC_9	3792124	572610724
gCSD17_NYC_9	3792124	572610724
gCSD17_SAN_10	3037761	458701911
gCSD17_SAN_10	3037761	458701911
gCSD17_SAN_11	3304957	499048507
gCSD17_SAN_11	3304957	499048507
gCSD17_SAN_12	1138316	171885716
gCSD17_SAN_12	1138316	171885716
gCSD17_SAN_13	1517827	229191877
gCSD17_SAN_13	1517827	229191877
gCSD17_SAN_14	2809972	424305772
gCSD17_SAN_14	2809972	424305772
gCSD17_SAN_15	3107138	469177838
gCSD17_SAN_15	3107138	469177838
gCSD17_SAN_16	1434380	216591380
gCSD17_SAN_16	1434380	216591380
gCSD17_SAN_1	2033239	307019089
gCSD17_SAN_1	2033239	307019089
gCSD17_SAN_2	6535457	986854007
gCSD17_SAN_2	6535457	986854007
gCSD17_SAN_3	833961	125928111
gCSD17_SAN_3	833961	125928111
gCSD17_SAN_4	2113115	319080365
gCSD17_SAN_4	2113115	319080365
gCSD17_SAN_5	2228860	336557860
gCSD17_SAN_5	2228860	336557860
gCSD17_SAN_6	1518866	229348766
gCSD17_SAN_6	1518866	229348766
gCSD17_SAN_7	2795551	422128201
gCSD17_SAN_7	2795551	422128201
gCSD17_SAN_8	2853219	430836069
gCSD17_SAN_8	2853219	430836069
gCSD17_SAN_9	3996278	603437978
gCSD17_SAN_9	3996278	603437978
gCSD17_SAO_10	5313395	802322645
gCSD17_SAO_10	5313395	802322645
gCSD17_SAO_11	7648174	1154874274
gCSD17_SAO_11	7648174	1154874274
gCSD17_SAO_12	5060548	764142748
gCSD17_SAO_12	5060548	764142748
gCSD17_SAO_13	2175122	328443422
gCSD17_SAO_13	2175122	328443422
gCSD17_SAO_14	1696962	256241262
gCSD17_SAO_14	1696962	256241262
gCSD17_SAO_15	3137946	473829846
gCSD17_SAO_15	3137946	473829846
gCSD17_SAO_16	1431152	216103952
gCSD17_SAO_16	1431152	216103952
gCSD17_SAO_17	1322165	199646915
gCSD17_SAO_17	1322165	199646915
gCSD17_SAO_18	4342648	655739848
gCSD17_SAO_18	4342648	655739848
gCSD17_SAO_19	4841950	731134450
gCSD17_SAO_19	4841950	731134450
gCSD17_SAO_1	5818675	878619925
gCSD17_SAO_1	5818675	878619925
gCSD17_SAO_20	1924084	290536684
gCSD17_SAO_20	1924084	290536684
gCSD17_SAO_21	2110701	318715851
gCSD17_SAO_21	2110701	318715851
gCSD17_SAO_22	4371227	660055277
gCSD17_SAO_22	4371227	660055277
gCSD17_SAO_23	2256023	340659473
gCSD17_SAO_23	2256023	340659473
gCSD17_SAO_24	6021267	909211317
gCSD17_SAO_24	6021267	909211317
gCSD17_SAO_25	2724192	411352992
gCSD17_SAO_25	2724192	411352992
gCSD17_SAO_2	3949803	596420253
gCSD17_SAO_2	3949803	596420253
gCSD17_SAO_3	3904821	589627971
gCSD17_SAO_3	3904821	589627971
gCSD17_SAO_4	4778814	721600914
gCSD17_SAO_4	4778814	721600914
gCSD17_SAO_5	6295141	950566291
gCSD17_SAO_5	6295141	950566291
gCSD17_SAO_6	2667932	402857732
gCSD17_SAO_6	2667932	402857732
gCSD17_SAO_7	5558423	839321873
gCSD17_SAO_7	5558423	839321873
gCSD17_SAO_8	2852568	430737768
gCSD17_SAO_8	2852568	430737768
gCSD17_SAO_9	2117858	319796558
gCSD17_SAO_9	2117858	319796558
gCSD17_TOK_10	2497664	377147264
gCSD17_TOK_10	2497664	377147264
gCSD17_TOK_11	4966720	749974720
gCSD17_TOK_11	4966720	749974720
gCSD17_TOK_12	5829617	880272167
gCSD17_TOK_12	5829617	880272167
gCSD17_TOK_13	3263868	492844068
gCSD17_TOK_13	3263868	492844068
gCSD17_TOK_14	4308154	650531254
gCSD17_TOK_14	4308154	650531254
gCSD17_TOK_15	3216817	485739367
gCSD17_TOK_15	3216817	485739367
gCSD17_TOK_16	4487639	677633489
gCSD17_TOK_16	4487639	677633489
gCSD17_TOK_17	6495057	980753607
gCSD17_TOK_17	6495057	980753607
gCSD17_TOK_18	4550204	687080804
gCSD17_TOK_18	4550204	687080804
gCSD17_TOK_19	4710973	711356923
gCSD17_TOK_19	4710973	711356923
gCSD17_TOK_1	4449761	671913911
gCSD17_TOK_1	4449761	671913911
gCSD17_TOK_20	5118875	772950125
gCSD17_TOK_20	5118875	772950125
gCSD17_TOK_21	6625099	1000389949
gCSD17_TOK_21	6625099	1000389949
gCSD17_TOK_22	4766803	719787253
gCSD17_TOK_22	4766803	719787253
gCSD17_TOK_23	4347493	656471443
gCSD17_TOK_23	4347493	656471443
gCSD17_TOK_24	4172528	630051728
gCSD17_TOK_24	4172528	630051728
gCSD17_TOK_25	3035757	458399307
gCSD17_TOK_25	3035757	458399307
gCSD17_TOK_2	3262922	492701222
gCSD17_TOK_2	3262922	492701222
gCSD17_TOK_3	4334183	654461633
gCSD17_TOK_3	4334183	654461633
gCSD17_TOK_4	2316311	349762961
gCSD17_TOK_4	2316311	349762961
gCSD17_TOK_5	3294059	497402909
gCSD17_TOK_5	3294059	497402909
gCSD17_TOK_6	3152272	475993072
gCSD17_TOK_6	3152272	475993072
gCSD17_TOK_7	5713908	862800108
gCSD17_TOK_7	5713908	862800108
gCSD17_TOK_8	4340771	655456421
gCSD17_TOK_8	4340771	655456421
gCSD17_TOK_9	3597741	543258891
gCSD17_TOK_9	3597741	543258891
gCSD17_VIE_10	5918613	893710563
gCSD17_VIE_10	5918613	893710563
gCSD17_VIE_11	5710979	862357829
gCSD17_VIE_11	5710979	862357829
gCSD17_VIE_12	4824747	728536797
gCSD17_VIE_12	4824747	728536797
gCSD17_VIE_13	5568347	840820397
gCSD17_VIE_13	5568347	840820397
gCSD17_VIE_14	3316125	500734875
gCSD17_VIE_14	3316125	500734875
gCSD17_VIE_15	3152613	476044563
gCSD17_VIE_15	3152613	476044563
gCSD17_VIE_16	5324629	804018979
gCSD17_VIE_16	5324629	804018979
gCSD17_VIE_1	3810472	575381272
gCSD17_VIE_1	3810472	575381272
gCSD17_VIE_2	3072238	463907938
gCSD17_VIE_2	3072238	463907938
gCSD17_VIE_3	2837160	428411160
gCSD17_VIE_3	2837160	428411160
gCSD17_VIE_4	2712440	409578440
gCSD17_VIE_4	2712440	409578440
gCSD17_VIE_5	5776543	872257993
gCSD17_VIE_5	5776543	872257993
gCSD17_VIE_6	3853970	581949470
gCSD17_VIE_6	3853970	581949470
gCSD17_VIE_7	5906299	891851149
gCSD17_VIE_7	5906299	891851149
gCSD17_VIE_8	4196377	633652927
gCSD17_VIE_8	4196377	633652927
gCSD17_VIE_9	4076802	615597102
gCSD17_VIE_9	4076802	615597102
gCSD17_ZRH_10	3097407	467708457
gCSD17_ZRH_10	3097407	467708457
gCSD17_ZRH_11	4916172	742341972
gCSD17_ZRH_11	4916172	742341972
gCSD17_ZRH_12	3248831	490573481
gCSD17_ZRH_12	3248831	490573481
gCSD17_ZRH_13	5791537	874522087
gCSD17_ZRH_13	5791537	874522087
gCSD17_ZRH_14	4756300	718201300
gCSD17_ZRH_14	4756300	718201300
gCSD17_ZRH_15	4381618	661624318
gCSD17_ZRH_15	4381618	661624318
gCSD17_ZRH_16	3655143	551926593
gCSD17_ZRH_16	3655143	551926593
gCSD17_ZRH_1	3227840	487403840
gCSD17_ZRH_1	3227840	487403840
gCSD17_ZRH_2	2100322	317148622
gCSD17_ZRH_2	2100322	317148622
gCSD17_ZRH_3	2897110	437463610
gCSD17_ZRH_3	2897110	437463610
gCSD17_ZRH_4	3216268	485656468
gCSD17_ZRH_4	3216268	485656468
gCSD17_ZRH_5	6495079	980756929
gCSD17_ZRH_5	6495079	980756929
gCSD17_ZRH_6	5307050	801364550
gCSD17_ZRH_6	5307050	801364550
gCSD17_ZRH_7	3474287	524617337
gCSD17_ZRH_7	3474287	524617337
gCSD17_ZRH_8	5399438	815315138
gCSD17_ZRH_8	5399438	815315138
gCSD17_ZRH_9	4917263	742506713
gCSD17_ZRH_9	4917263	742506713
		
